1;1;BOT
2;1;10;dbe3e861-8d9a-4399-9669-9e8309a539d2
3;2;BOT
4;2;20;7c0b9251-665e-41cd-9398-0c9d2dcbd988
5;3;BOT
6;3;30;04bfdfad-9719-468c-b98a-0afa8e2403b2
7;3;10;0ce4ca84-cf1c-47a2-900e-036b5f519898
8;4;BOT
9;4;40;5e99ba83-ff4d-4c61-b5a9-a1a0c929f0bc
10;4;20;1b44b0b0-b999-4ee5-b9dd-0e810c703326
11;5;BOT
12;5;50;a91c993e-1fae-4ad5-a3d7-855aa3e5ce2c
13;5;30;d07bf2db-d28b-43f0-bfba-b295d21b67e1
14;5;11;a3dd2f8a-4f00-4f12-84c1-044ff9fca88c
15;5;40;2714167f-77f0-4496-8630-4a03eb40d7be
16;5;21;7d5c077a-da30-42a8-aa61-2b259de227b5
17;5;50;ee17db28-b55e-487e-96ce-039f9a5dbedf
18;5;31;7e4bcad6-6ba8-488d-bd01-45918e4c14d5
19;5;11;c4f72869-38af-42e6-8f35-7ce08a7e5e1c
20;5;41;ee7d6fd5-36e3-42fc-ae13-96581d48f869
21;5;21;50667c7c-581f-4346-a49b-fdd9d6e4de38
22;5;51;219e9b34-201b-4ba8-ada0-11c256c37ee3
23;5;32;bbc1009a-e2ac-441f-b326-528c478040d1
24;5;11;d32a62d6-bd08-4a45-ab4d-4be44732b6b4
25;5;41;6a162f98-4862-451c-8ec0-23fb9aa18ba7
26;5;22;39c0e74d-c5ea-4b87-99f6-1372147a89b7
27;5;52;4bbc2443-2973-4a9f-ace4-0871d4292803
28;5;32;3a37d432-5fdc-4102-8fe7-5d33c6e335fd
29;5;12;9390ed53-4b8c-45d4-b588-0ab1acacc815
30;5;42;97d057e0-d6ea-4e53-88b4-04735ed8f877
31;5;22;94970d6f-f557-4639-97a8-2cdd733d9e78
32;5;52;be4b0a08-9c3a-4b68-a64b-d658704d5de3
33;5;32;8bc0d771-c8f4-46dd-9427-c50b0642b87b
34;5;12;9ce059a0-3057-4008-b897-dd81c2c67874
35;5;42;5599ba54-5296-4722-aaeb-b0d932f0dd17
36;5;22;fe2b82c4-d29b-4384-9ac8-b67da55a5590
37;5;53;b7dc1e68-e976-475a-ab5e-4c4e3de6a09c
38;5;33;850e5952-a0df-41b2-934f-4a3869649fdc
39;5;13;2df13ea3-46f4-482d-aa0b-b0d38d56e5af
40;5;42;bcd4feb4-a631-43b7-9edf-eb4ec780d040
41;5;22;ee08f8fe-8209-49ef-a7e6-adf8b3adc67f
42;5;53;889480fc-a700-42e5-b3f8-5789bb09fbbe
43;5;33;89c97e8f-f50c-45fc-9c9b-1863144533b0
44;5;13;a4eb2389-9293-4b46-bb62-7965a099ae34
45;5;42;4569fc1b-f02b-40bf-9e07-c8667ce341a9
46;5;23;0e661e50-263c-409e-a8be-5361b375820e
47;5;54;a51da227-9456-464e-80f9-82e193562d64
48;5;34;243946e9-60af-410d-9300-4c58bf6efbf8
49;5;13;1d8353bc-dcd3-4826-a2e9-f30d425ae89c
50;5;43;7821ac31-c8f9-4ff3-89c3-cc13fcdb54c4
51;5;24;e1e3df5d-947c-49b5-9513-9ca03443d27d
52;5;55;554fa759-f3d3-48bf-a9cb-75c995aa273e
53;5;34;0896805a-841c-4669-bed9-b919f0281bd5
54;5;13;6ff5ffc9-287e-49aa-be4b-111cedcfae43
55;5;43;34852ee1-28a7-4766-8a16-9ec2a507268d
56;5;24;518611cf-1c49-46c1-a2a6-efea9fd1402c
57;5;55;8cac47ef-3f10-44d5-82ab-5d37d2054feb
58;5;34;d07ea934-cabc-40fb-9de4-20b4589ed2ff
59;5;14;38ce242e-1705-4072-a724-e17c38f2d348
60;5;44;ef669f26-a186-43f7-8836-75c0ae646cb6
61;5;24;ef739f03-a72f-4d11-ae50-825a6dc1245b
62;5;56;3df4b361-3750-45ed-944a-2ea504b8569d
63;5;34;40255172-463a-4485-9de1-e51865b7e1b6
64;5;14;9f8403ac-2348-46ff-bb87-612f3770c811
65;5;44;835290f0-c453-45c8-8e5a-bc35c9bd3a81
66;5;24;22ae6a9c-7b10-4e6b-b489-b4c40c70fa8b
67;5;56;083af2ea-11b5-4292-82f4-bc650a54ffbc
68;5;35;89218c6d-ac7d-44ae-b28f-26ef5462792f
69;5;14;68243a90-d636-43a7-8d9d-cd10bb98ab75
70;5;44;796b1673-aa49-4f07-a9d9-af102c8f4773
71;5;24;45ff8f44-6fc2-4b94-aa5a-83363dde4e66
72;5;56;be9cc9cd-5ea4-4d2e-96f8-6437b71d40b1
73;5;35;e1192193-e3a2-4804-85c0-e1dce10704d6
74;5;15;82495e0a-b2ec-468b-905b-574359bd0d22
75;5;45;91e45616-2944-45b1-81e1-6ac2acc9b953
76;5;25;68031d73-4fd5-4229-a524-998213df4b7d
77;5;56;a9ab7363-a995-45d7-b61a-a4dc32e4fdcc
78;5;35;c7681594-8ef4-4812-aa98-8546410f0d45
79;5;15;df5f5ce4-4ec9-48c0-bba4-d1a02a0b745b
80;5;45;f42e9fb7-f7e8-4d5a-b1b5-a8f4029aa592
81;5;25;b900b741-88e7-4258-9987-844259d4ac18
82;5;57;65194f37-cac6-4f70-b6fc-38129830e7a9
83;5;35;aa110cc8-1382-42bb-aa56-b0f7f4f1d3ce
84;5;15;5a295614-296c-4eea-b536-d351ca1cbfff
85;5;46;1b7d0971-ccb6-47bb-b957-f276d8456dfc
86;5;26;ae9450be-8c95-4b42-9a18-3d222b332ce3
87;5;58;26ce982c-1bfe-4d24-beab-af687fddec80
88;5;36;5d099e39-7b11-4475-a7e0-7f07c334fb34
89;5;15;aac63871-c22c-44d0-9bbd-e136ec495c26
90;5;47;dea59b80-41a0-4ae9-bf2d-eca67a4002ad
91;5;26;f0270c2c-1bfa-4e66-ac7d-dad38951320e
92;5;59;6c81f550-ec69-4ca1-b589-519120a8704f
93;5;37;fba4b9c0-93d0-4359-9ade-631e66d337b7
94;5;16;f467a60e-0a5b-4373-ae37-8519c15849c5
95;5;47;8981aa03-5c21-4277-9b70-e7cb831e1c32
96;5;27;7fcc2aa7-2397-480b-8821-474a0dd86188
97;5;59;ccf1b12b-2a13-4951-ad95-e60e3ab5eeba
98;5;37;99eabf61-c69c-4c1a-b2f8-d9f1d97c466a
99;5;16;abb19879-dfc6-4ae9-a7ea-ca6fe0f87ca3
100;5;48;20741df6-a9ac-40b2-8d80-c5192cc04d92
101;5;28;351bccca-22ac-4c3a-8650-38a7049beb4e
102;5;59;20cc0092-c97f-4c58-8628-9748a487b51f
103;5;37;200455b7-2c6e-4b15-9f48-64442d87ff82
104;5;16;921a1892-20c2-474e-802d-20713b80b696
